age	ct	batch
young_LT_HSC_2	young	LTHSC	b1
young_LT_HSC_6	young	LTHSC	b1
young_LT_HSC_8	young	LTHSC	b1
young_LT_HSC_9	young	LTHSC	b1
young_LT_HSC_10	young	LTHSC	b1
young_LT_HSC_11	young	LTHSC	b1
young_LT_HSC_12	young	LTHSC	b1
young_LT_HSC_14	young	LTHSC	b1
young_LT_HSC_15	young	LTHSC	b1
young_LT_HSC_16	young	LTHSC	b1
young_LT_HSC_17	young	LTHSC	b1
young_LT_HSC_18	young	LTHSC	b1
young_LT_HSC_19	young	LTHSC	b1
young_LT_HSC_20	young	LTHSC	b1
young_LT_HSC_21	young	LTHSC	b1
young_LT_HSC_22	young	LTHSC	b1
young_LT_HSC_23	young	LTHSC	b1
young_LT_HSC_24	young	LTHSC	b1
young_LT_HSC_26	young	LTHSC	b1
young_LT_HSC_28	young	LTHSC	b1
young_LT_HSC_25	young	LTHSC	b1
young_LT_HSC_30	young	LTHSC	b1
young_LT_HSC_31	young	LTHSC	b1
young_LT_HSC_32	young	LTHSC	b1
young_LT_HSC_33	young	LTHSC	b1
young_LT_HSC_34	young	LTHSC	b1
young_LT_HSC_35	young	LTHSC	b1
young_LT_HSC_36	young	LTHSC	b1
young_LT_HSC_38	young	LTHSC	b1
young_LT_HSC_40	young	LTHSC	b1
young_LT_HSC_37	young	LTHSC	b1
young_LT_HSC_41	young	LTHSC	b1
young_LT_HSC_42	young	LTHSC	b1
young_LT_HSC_43	young	LTHSC	b1
young_LT_HSC_44	young	LTHSC	b1
young_LT_HSC_45	young	LTHSC	b1
young_LT_HSC_46	young	LTHSC	b1
young_LT_HSC_47	young	LTHSC	b1
young_LT_HSC_48	young	LTHSC	b1
young_LT_HSC_50	young	LTHSC	b1
young_LT_HSC_51	young	LTHSC	b1
young_LT_HSC_49	young	LTHSC	b1
young_LT_HSC_53	young	LTHSC	b1
young_LT_HSC_54	young	LTHSC	b1
young_LT_HSC_55	young	LTHSC	b1
young_LT_HSC_56	young	LTHSC	b1
young_LT_HSC_57	young	LTHSC	b1
young_LT_HSC_58	young	LTHSC	b1
young_LT_HSC_59	young	LTHSC	b1
young_LT_HSC_60	young	LTHSC	b1
young_LT_HSC_62	young	LTHSC	b1
young_LT_HSC_63	young	LTHSC	b1
young_LT_HSC_64	young	LTHSC	b1
young_LT_HSC_61	young	LTHSC	b1
young_LT_HSC_65	young	LTHSC	b1
young_LT_HSC_66	young	LTHSC	b1
young_LT_HSC_67	young	LTHSC	b1
young_LT_HSC_68	young	LTHSC	b1
young_LT_HSC_69	young	LTHSC	b1
young_LT_HSC_70	young	LTHSC	b1
young_LT_HSC_71	young	LTHSC	b1
young_LT_HSC_72	young	LTHSC	b1
young_LT_HSC_74	young	LTHSC	b1
young_LT_HSC_75	young	LTHSC	b1
young_LT_HSC_76	young	LTHSC	b1
young_LT_HSC_73	young	LTHSC	b1
young_LT_HSC_78	young	LTHSC	b1
young_LT_HSC_80	young	LTHSC	b1
young_LT_HSC_81	young	LTHSC	b1
young_LT_HSC_82	young	LTHSC	b1
young_LT_HSC_83	young	LTHSC	b1
young_LT_HSC_84	young	LTHSC	b1
young_LT_HSC_86	young	LTHSC	b1
young_LT_HSC_87	young	LTHSC	b1
young_LT_HSC_88	young	LTHSC	b1
young_LT_HSC_89	young	LTHSC	b1
young_LT_HSC_90	young	LTHSC	b1
young_LT_HSC_91	young	LTHSC	b1
young_LT_HSC_92	young	LTHSC	b1
young_LT_HSC_93	young	LTHSC	b1
young_LT_HSC_94	young	LTHSC	b1
young_LT_HSC_95	young	LTHSC	b1
young_LT_HSC_96	young	LTHSC	b1
young_LT_HSC_101	young	LTHSC	b1
young_LT_HSC_102	young	LTHSC	b1
young_LT_HSC_104	young	LTHSC	b1
young_LT_HSC_107	young	LTHSC	b1
young_LT_HSC_108	young	LTHSC	b1
young_LT_HSC_110	young	LTHSC	b1
young_LT_HSC_111	young	LTHSC	b1
young_LT_HSC_112	young	LTHSC	b1
young_LT_HSC_109	young	LTHSC	b1
young_LT_HSC_113	young	LTHSC	b1
young_LT_HSC_114	young	LTHSC	b1
young_LT_HSC_115	young	LTHSC	b1
young_LT_HSC_116	young	LTHSC	b1
young_LT_HSC_117	young	LTHSC	b1
young_LT_HSC_118	young	LTHSC	b1
young_LT_HSC_119	young	LTHSC	b1
young_LT_HSC_122	young	LTHSC	b1
young_LT_HSC_123	young	LTHSC	b1
young_LT_HSC_121	young	LTHSC	b1
young_LT_HSC_125	young	LTHSC	b1
young_LT_HSC_126	young	LTHSC	b1
young_LT_HSC_127	young	LTHSC	b1
young_LT_HSC_128	young	LTHSC	b1
young_LT_HSC_129	young	LTHSC	b1
young_LT_HSC_130	young	LTHSC	b1
young_LT_HSC_131	young	LTHSC	b1
young_LT_HSC_132	young	LTHSC	b1
young_LT_HSC_134	young	LTHSC	b1
young_LT_HSC_135	young	LTHSC	b1
young_LT_HSC_136	young	LTHSC	b1
young_LT_HSC_133	young	LTHSC	b1
young_LT_HSC_137	young	LTHSC	b1
young_LT_HSC_138	young	LTHSC	b1
young_LT_HSC_139	young	LTHSC	b1
young_LT_HSC_140	young	LTHSC	b1
young_LT_HSC_141	young	LTHSC	b1
young_LT_HSC_142	young	LTHSC	b1
young_LT_HSC_143	young	LTHSC	b1
young_LT_HSC_144	young	LTHSC	b1
young_LT_HSC_146	young	LTHSC	b1
young_LT_HSC_147	young	LTHSC	b1
young_LT_HSC_148	young	LTHSC	b1
young_LT_HSC_145	young	LTHSC	b1
young_LT_HSC_149	young	LTHSC	b1
young_LT_HSC_150	young	LTHSC	b1
young_LT_HSC_151	young	LTHSC	b1
young_LT_HSC_152	young	LTHSC	b1
young_LT_HSC_153	young	LTHSC	b1
young_LT_HSC_154	young	LTHSC	b1
young_LT_HSC_155	young	LTHSC	b1
young_LT_HSC_156	young	LTHSC	b1
young_LT_HSC_158	young	LTHSC	b1
young_LT_HSC_159	young	LTHSC	b1
young_LT_HSC_160	young	LTHSC	b1
young_LT_HSC_157	young	LTHSC	b1
young_LT_HSC_161	young	LTHSC	b1
young_LT_HSC_162	young	LTHSC	b1
young_LT_HSC_163	young	LTHSC	b1
young_LT_HSC_164	young	LTHSC	b1
young_LT_HSC_165	young	LTHSC	b1
young_LT_HSC_166	young	LTHSC	b1
young_LT_HSC_167	young	LTHSC	b1
young_LT_HSC_170	young	LTHSC	b1
young_LT_HSC_171	young	LTHSC	b1
young_LT_HSC_172	young	LTHSC	b1
young_LT_HSC_169	young	LTHSC	b1
young_LT_HSC_173	young	LTHSC	b1
young_LT_HSC_174	young	LTHSC	b1
young_LT_HSC_175	young	LTHSC	b1
young_LT_HSC_176	young	LTHSC	b1
young_LT_HSC_177	young	LTHSC	b1
young_LT_HSC_178	young	LTHSC	b1
young_LT_HSC_179	young	LTHSC	b1
young_LT_HSC_182	young	LTHSC	b1
young_LT_HSC_183	young	LTHSC	b1
